Id_bureau;INS07T1;ABS07T1;VOT07T1;BLC07T1;EXP07T1;EXP07T1_nb;ROY07T1;SAR07T1;INS07T2;ABS07T2;VOT07T2;BLC07T2;EXP07T2;EXP07T2_nb;ROY07T2;SAR07T2
49007_507;1367;0.209217264;0.790782736;0.01316752;0.777615216;1063;0.176857949;0.074317968;1368;0.207602339;0.792397661;0.032894737;0.759502924;1039;0.649663138;0.350336862
49007_508;1099;0.108280255;0.891719745;0.009099181;0.882620564;970;0.213402062;0.027835052;1099;0.111010009;0.888989991;0.031847134;0.857142857;942;0.478768577;0.521231423
49007_509;1186;0.162731872;0.837268128;0.006745363;0.830522766;985;0.217258883;0.042639594;1187;0.165122157;0.834877843;0.028643639;0.806234204;957;0.579937304;0.420062696
49007_510;1193;0.145850796;0.854149204;0.02263202;0.831517184;992;0.219758065;0.064516129;1193;0.158424141;0.841575859;0.041072925;0.800502934;955;0.608376963;0.391623037
49007_511;1031;0.151309408;0.848690592;0.013579049;0.835111542;861;0.2485482;0.036004646;1031;0.158098933;0.841901067;0.033947624;0.807953443;833;0.535414166;0.464585834
49007_512;1087;0.131554738;0.868445262;0.003679853;0.864765409;940;0.240425532;0.038297872;1087;0.138914443;0.861085557;0.042318307;0.818767249;890;0.486516854;0.513483146
49007_513;1043;0.104506232;0.895493768;0.006711409;0.888782359;927;0.234088457;0.043149946;1043;0.117929051;0.882070949;0.031639501;0.850431448;887;0.523111612;0.476888388
49007_601;1497;0.156312625;0.843687375;0.004676019;0.839011356;1256;0.257961783;0.031847134;1497;0.156980628;0.843019372;0.034736139;0.808283233;1210;0.545454545;0.454545455
49007_602;1109;0.19657349;0.80342651;0.009017133;0.794409378;881;0.263337117;0.054483541;1109;0.189359784;0.810640216;0.027051398;0.783588819;869;0.539700806;0.460299194
49007_603;1224;0.165849673;0.834150327;0.004901961;0.829248366;1015;0.248275862;0.058128079;1224;0.162581699;0.837418301;0.041666667;0.795751634;974;0.59650924;0.40349076
49007_604;950;0.166315789;0.833684211;0.014736842;0.818947368;778;0.181233933;0.075835476;950;0.186315789;0.813684211;0.027368421;0.786315789;747;0.678714859;0.321285141
49007_605;1067;0.134957826;0.865042174;0.012183693;0.852858482;910;0.224175824;0.052747253;1067;0.142455483;0.857544517;0.032802249;0.824742268;880;0.615909091;0.384090909
49007_606;1275;0.168627451;0.831372549;0.010196078;0.821176471;1047;0.200573066;0.06112703;1275;0.188235294;0.811764706;0.021176471;0.790588235;1008;0.653769841;0.346230159
49007_607;1213;0.205276175;0.794723825;0.011541632;0.783182193;950;0.218947368;0.068421053;1214;0.197693575;0.802306425;0.030477759;0.771828666;937;0.581643543;0.418356457
49007_608;1278;0.088419405;0.911580595;0.009389671;0.902190923;1153;0.269731136;0.062445794;1278;0.107198748;0.892801252;0.038341158;0.854460094;1092;0.642857143;0.357142857
49007_609;841;0.101070155;0.898929845;0.011890606;0.887039239;746;0.222520107;0.049597855;841;0.11058264;0.88941736;0.033293698;0.856123662;720;0.601388889;0.398611111
49007_610;1027;0.091528724;0.908471276;0.004868549;0.903602726;928;0.233836207;0.045258621;1027;0.11587147;0.88412853;0.022395326;0.861733204;885;0.625988701;0.374011299
49007_611;1560;0.055128205;0.944871795;0.007692308;0.937179487;1462;0.286593707;0.038303694;1560;0.073717949;0.926282051;0.037179487;0.889102564;1387;0.556596972;0.443403028
49007_701;1088;0.136029412;0.863970588;0.002757353;0.861213235;937;0.227321238;0.045891142;1088;0.155330882;0.844669118;0.036764706;0.807904412;879;0.530147895;0.469852105
49007_702;1218;0.184729064;0.815270936;0.010673235;0.804597701;980;0.240816327;0.040816327;1218;0.188013136;0.811986864;0.032019704;0.779967159;950;0.584210526;0.415789474
49007_703;1587;0.117832388;0.882167612;0.010712035;0.871455577;1383;0.281995662;0.032537961;1590;0.145283019;0.854716981;0.030188679;0.824528302;1311;0.533943555;0.466056445
49007_704;1248;0.131410256;0.868589744;0.010416667;0.858173077;1071;0.238095238;0.042950514;1248;0.132211538;0.867788462;0.034455128;0.833333333;1040;0.549038462;0.450961538
49007_801;1375;0.137454545;0.862545455;0.013090909;0.849454545;1168;0.260273973;0.043664384;1375;0.141818182;0.858181818;0.045818182;0.812363636;1117;0.51656222;0.48343778
49007_802;1223;0.138184791;0.861815209;0.013082584;0.848732625;1038;0.216763006;0.035645472;1224;0.134803922;0.865196078;0.035130719;0.830065359;1016;0.584645669;0.415354331
49007_803;642;0.352024922;0.647975078;0.014018692;0.633956386;407;0.179361179;0.063882064;642;0.352024922;0.647975078;0.028037383;0.619937695;398;0.655778894;0.344221106
49007_804;610;0.072131148;0.927868852;0.014754098;0.913114754;557;0.28545781;0.037701975;610;0.073770492;0.926229508;0.045901639;0.880327869;537;0.502793296;0.497206704
49007_805;889;0.161979753;0.838020247;0.012373453;0.825646794;734;0.247956403;0.04359673;889;0.173228346;0.826771654;0.033745782;0.793025872;705;0.530496454;0.469503546
